name,email,firstName,lastName,middleName,targetValue,status,registeredTime,deregisteredTime,lastContactTime,lastInternalIpAddress,lastExternalIpAddress,deviceType,deviceGroupName,windowsPlatform,osVersion,sensorVersion,avEngine
"SENTINEL\PARKDELMAR13",SENTINEL\parkdelmarl,"","","",MEDIUM,REGISTERED,2017-08-22-141414,"",2017-08-22-173336,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\NIEGLOS",SENTINEL\nieglos,"","","",MEDIUM,REGISTERED,2017-01-25-141718,"",2017-08-22-173335,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\exchange4",SENTINEL\bona,"","","",MEDIUM,REGISTERED,2016-11-04-162849,"",2017-08-22-173334,"",173.251.20.53,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\SORMILLON2",SENTINEL\sormillon,"","","",MEDIUM,REGISTERED,2017-01-12-175522,"",2017-08-22-173332,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\KELT",SENTINEL\kelt,"","","",MEDIUM,REGISTERED,2017-05-10-140521,"",2017-08-22-173330,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\pdc2",SENTINEL\olds,"","","",MEDIUM,REGISTERED,2016-11-04-162723,"",2017-08-22-173330,"",173.251.20.37,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\GRANDVIEW13",SENTINEL\grandviewl,"","","",MEDIUM,REGISTERED,2017-01-12-174211,"",2017-08-22-173326,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\General",nimdalh,"","","",MEDIUM,REGISTERED,2016-11-04-184326,"",2017-08-22-173326,172.16.7.7,173.251.20.37,WINDOWS,"default","",Server 2008 x86 SP: 2,1.0.6.161,""
"SENTINEL\WILLOWSPRINGS50",SENTINEL\willowspringss,"","","",MEDIUM,REGISTERED,2017-08-22-141447,"",2017-08-22-173325,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ADDISONPARK1",SENTINEL\addison park m,"","","",MEDIUM,REGISTERED,2017-01-12-172628,"",2017-08-22-173324,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CHESWYCK17",SENTINEL\CHESWYCK L2,"","","",MEDIUM,REGISTERED,2017-06-12-154931,"",2017-08-22-173323,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\portalindex",SENTINEL\nimdaab,"","","",MEDIUM,REGISTERED,2016-11-04-164403,"",2017-08-22-173323,"",173.251.20.37,WINDOWS,"default","",Server 2012 R2 x64 ,1.0.6.161,""
"SENTINEL\OBRIEN",SENTINEL\obrien,"","","",MEDIUM,REGISTERED,2017-01-12-175146,"",2017-08-22-173322,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\PDC3",SENTINEL\smolds,"","","",MEDIUM,REGISTERED,2016-11-04-162306,"",2017-08-22-173322,"",173.251.20.37,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\HARRISON",SENTINEL\harrison,"","","",MEDIUM,REGISTERED,2017-04-26-190707,"",2017-08-22-173321,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\BOXTONE2",SENTINEL\bona,"","","",MEDIUM,REGISTERED,2017-01-19-210012,"",2017-08-22-173320,"",173.251.20.37,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\DISTCOLUMBUS1",SENTINEL\Sitterley,"","","",MEDIUM,REGISTERED,2017-08-22-141336,"",2017-08-22-173318,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CHAN",SENTINEL\chan,"","","",MEDIUM,REGISTERED,2017-04-17-155647,"",2017-08-22-173318,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\JOUMAS",SENTINEL\joumas,"","","",MEDIUM,REGISTERED,2017-08-22-142220,"",2017-08-22-173317,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\FITZPATRICK",FITZPATRICK\Administrator,"","","",MEDIUM,REGISTERED,2017-01-20-192327,"",2017-08-22-173315,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\THECOMMONS50",SENTINEL\thecommonss,"","","",MEDIUM,REGISTERED,2017-08-22-141418,"",2017-08-22-173313,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\KRAUT",SENTINEL\kraut,"","","",MEDIUM,REGISTERED,2017-02-28-193547,"",2017-08-22-173312,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\BELLI",SENTINEL\belli,"","","",MEDIUM,REGISTERED,2017-01-30-214257,"",2017-08-22-173311,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ESX-MASTER1",SENTINEL\fsremote,"","","",MEDIUM,REGISTERED,2017-04-14-201125,"",2017-08-22-173309,"",173.251.20.37,WINDOWS,"default","",Server 2012 R2 x64 ,1.0.6.161,""
"SENTINEL\LINKSPLUMCREEK1",SENTINEL\plumcreekm,"","","",MEDIUM,REGISTERED,2017-08-22-141355,"",2017-08-22-173309,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\PARAGON50",SENTINEL\paragons,"","","",MEDIUM,REGISTERED,2017-08-22-141402,"",2017-08-22-173306,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\esx-master",SENTINEL\nimdals,"","","",MEDIUM,REGISTERED,2017-01-18-160618,"",2017-08-22-173305,"",173.251.20.37,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\DIPIETRANTONIO",SENTINEL\dipietrantonio,"","","",MEDIUM,REGISTERED,2017-02-16-144854,"",2017-08-22-173304,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\SONTERRA2",SENTINEL\sonterra at pv m,"","","",MEDIUM,REGISTERED,2017-01-12-175714,"",2017-08-22-173303,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LUCERNE50",SENTINEL\lucernes,"","","",MEDIUM,REGISTERED,2017-08-22-141316,"",2017-08-22-173302,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\SILVERMAN",SENTINEL\silverman,"","","",MEDIUM,REGISTERED,2017-01-12-163545,"",2017-08-22-173301,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\FOOTHILLS3",SENTINEL\foothillsa,"","","",MEDIUM,REGISTERED,2017-01-12-174245,"",2017-08-22-173300,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\EGRETS13",SENTINEL\egretslandingl,"","","",MEDIUM,REGISTERED,2017-08-22-141400,"",2017-08-22-173257,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\TANNENBAUM",SENTINEL\satalich,"","","",MEDIUM,REGISTERED,2016-11-29-180217,"",2017-08-22-173255,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DCCOMM3",SENTINEL\glass,"","","",MEDIUM,REGISTERED,2017-01-12-174214,"",2017-08-22-173255,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\pdc1",SENTINEL\olds,"","","",MEDIUM,REGISTERED,2016-11-04-161227,"",2017-08-22-173255,172.16.0.93,173.251.20.37,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\ASHTONPARC2",SENTINEL\ashtonparc a,"","","",MEDIUM,REGISTERED,2017-01-12-173045,"",2017-08-22-173252,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\YEUNGKW7",SENTINEL\yeungk,"","","",MEDIUM,REGISTERED,2017-01-12-175541,"",2017-08-22-173251,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DISTINDIAN2",SENTINEL\graber,"","","",MEDIUM,REGISTERED,2017-08-22-141440,"",2017-08-22-173248,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ad2",SENTINEL\olds,"","","",MEDIUM,REGISTERED,2016-11-04-155855,"",2017-08-22-173244,"",173.251.20.37,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\PRESERVE13",SENTINEL\preserveblueravine l,"","","",MEDIUM,REGISTERED,2017-01-12-180136,"",2017-08-22-173243,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\AVENEL2",SENTINEL\avenela,"","","",MEDIUM,REGISTERED,2017-01-12-173806,"",2017-08-22-173243,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DISTRALEIGH3",SENTINEL\Thompson,"","","",MEDIUM,REGISTERED,2017-08-22-141405,"",2017-08-22-173240,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\FOOTHILLS14",SENTINEL\Foothillsl,"","","",MEDIUM,REGISTERED,2017-08-22-141410,"",2017-08-22-173239,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LUDVIGSEN",SENTINEL\ludvigsen,"","","",MEDIUM,REGISTERED,2016-12-15-202012,"",2017-08-22-173238,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\Anthony",SENTINEL\anthony,"","","",MEDIUM,REGISTERED,2017-01-12-172612,"",2017-08-22-173238,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\BONTERRA13",SENTINEL\bonterral2,"","","",MEDIUM,REGISTERED,2017-08-22-141402,"",2017-08-22-173237,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CENTREPOINTE2",SENTINEL\centrepointea,"","","",MEDIUM,REGISTERED,2017-08-22-141241,"",2017-08-22-173233,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\HEALY",SENTINEL\healy,"","","",MEDIUM,REGISTERED,2017-01-12-174820,"",2017-08-22-173233,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\RITTER",SENTINEL\ritter,"","","",MEDIUM,REGISTERED,2016-12-21-144641,"",2017-08-22-173232,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LARATRO",SENTINEL\laratro,"","","",MEDIUM,REGISTERED,2017-01-12-174816,"",2017-08-22-173231,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LUCERNE13",SENTINEL\lucerne l,"","","",MEDIUM,REGISTERED,2017-01-12-174927,"",2017-08-22-173231,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\Portal3",SENTINEL\nimdaab,"","","",MEDIUM,REGISTERED,2016-11-04-163711,"",2017-08-22-173226,"",173.251.20.37,WINDOWS,"default","",Server 2012 R2 x64 ,1.0.6.161,""
"SENTINEL\POLINSKI",SENTINEL\polinski,"","","",MEDIUM,REGISTERED,2017-03-16-202842,"",2017-08-22-173226,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\BRENTWOODOAK1",SENTINEL\brentwood m,"","","",MEDIUM,REGISTERED,2017-01-12-173833,"",2017-08-22-173225,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\SONTERRA3",SENTINEL\sonterra at pv a,"","","",MEDIUM,REGISTERED,2017-01-12-175708,"",2017-08-22-173222,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\HOOL",SENTINEL\hool,"","","",MEDIUM,REGISTERED,2017-02-09-151634,"",2017-08-22-173222,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ASHTONPARC1",SENTINEL\Ashtonparc m,"","","",MEDIUM,REGISTERED,2017-01-12-173046,"",2017-08-22-173212,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CYPRESSWOOD14",SENTINEL\cypresswoodl2,"","","",MEDIUM,REGISTERED,2017-08-22-141523,"",2017-08-22-173205,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\HEYWOOD",SENTINEL\heywood,"","","",MEDIUM,REGISTERED,2017-01-24-161835,"",2017-08-22-173203,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LITTLESTONE1",SENTINEL\littlestone m,"","","",MEDIUM,REGISTERED,2017-01-12-174923,"",2017-08-22-173202,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\BEKTESHI",SENTINEL\bekteshi,"","","",MEDIUM,REGISTERED,2017-08-22-141134,"",2017-08-22-173202,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LINKPLUMCREEK14",SENTINEL\Plum Creek l,"","","",MEDIUM,REGISTERED,2017-01-12-175744,"",2017-08-22-173200,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LUCERNE4",SENTINEL\lucerne m,"","","",MEDIUM,REGISTERED,2017-01-12-175756,"",2017-08-22-173200,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\EPPERSON",SENTINEL\epperson,"","","",MEDIUM,REGISTERED,2017-01-12-174945,"",2017-08-22-173154,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\REYES",SENTINEL\reyes,"","","",MEDIUM,REGISTERED,2017-03-10-201800,"",2017-08-22-173154,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DISTCAL2",SENTINEL\yurcich,"","","",MEDIUM,REGISTERED,2017-08-22-170834,"",2017-08-22-173153,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\FIRSTANDMAIN3",FIRSTANDMAIN3\Administrator,"","","",MEDIUM,REGISTERED,2017-07-17-152258,"",2017-08-22-173150,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\COURTNEY14",SENTINEL\courtneystationl2,"","","",MEDIUM,REGISTERED,2017-01-12-173824,"",2017-08-22-173145,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GLENBROOK1",SENTINEL\glenbrook,"","","",MEDIUM,REGISTERED,2017-01-12-174207,"",2017-08-22-173137,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\Cassidy",SENTINEL\cassidy,"","","",MEDIUM,REGISTERED,2017-01-12-173725,"",2017-08-22-173132,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\FAINBERG",SENTINEL\fainberg,"","","",MEDIUM,REGISTERED,2017-01-12-174120,"",2017-08-22-173131,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LOFTLAKEVIEW50",SENTINEL\loftsatlakeviews,"","","",MEDIUM,REGISTERED,2017-08-22-141346,"",2017-08-22-173123,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CARDINAL",SENTINEL\cardinal,"","","",MEDIUM,REGISTERED,2017-01-11-171417,"",2017-08-22-173123,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\WOODBERRY3",SENTINEL\woodberry a,"","","",MEDIUM,REGISTERED,2017-01-12-175634,"",2017-08-22-173121,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LENIART",SENTINEL\leniart,"","","",MEDIUM,REGISTERED,2016-12-02-141532,"",2017-08-22-173115,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ANDOVERPLACE2",SENTINEL\andover place a,"","","",MEDIUM,REGISTERED,2017-01-12-172622,"",2017-08-22-173108,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\COX",SENTINEL\cox,"","","",MEDIUM,REGISTERED,2017-05-02-141812,"",2017-08-22-173107,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\BARTONVINE50",SENTINEL\bartonvineyards,"","","",MEDIUM,REGISTERED,2017-08-22-141446,"",2017-08-22-173107,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\NONAPARK14",SENTINEL\nonaparkl2,"","","",MEDIUM,REGISTERED,2017-08-22-141327,"",2017-08-22-173050,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DELANO1",SENTINEL\delano m,"","","",MEDIUM,REGISTERED,2017-01-12-175727,"",2017-08-22-173045,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\MALONE",SENTINEL\malone,"","","",MEDIUM,REGISTERED,2017-01-12-175151,"",2017-08-22-173044,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\JACKSONPARK14",SENTINEL\jackson park l2,"","","",MEDIUM,REGISTERED,2017-01-12-175049,"",2017-08-22-173037,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ANDOVERPLACE13",SENTINEL\andoverplacel1,"","","",MEDIUM,REGISTERED,2017-08-22-141427,"",2017-08-22-173016,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LOFTLAKEVIEW15",SENTINEL\loftsatlakeviewl3,"","","",MEDIUM,REGISTERED,2017-08-22-141354,"",2017-08-22-173015,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DISTTAMPA1",SENTINEL\corbett,"","","",MEDIUM,REGISTERED,2017-08-22-141617,"",2017-08-22-173011,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\BRENTWOODOAK2",SENTINEL\brentwooda,"","","",MEDIUM,REGISTERED,2017-08-22-141327,"",2017-08-22-173011,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\HERNANDEZ",SENTINEL\hernandez,"","","",MEDIUM,REGISTERED,2017-01-12-174819,"",2017-08-22-173006,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\PARKDELMAR2",SENTINEL\park del mar m,"","","",MEDIUM,REGISTERED,2017-01-12-175308,"",2017-08-22-172959,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\FIRSTANDMAIN1",SENTINEL\firstandmain,"","","",MEDIUM,REGISTERED,2017-01-12-174227,"",2017-08-22-172953,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ISLANDPARK13",SENTINEL\islandparkl2,"","","",MEDIUM,REGISTERED,2017-08-22-141400,"",2017-08-22-172952,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\legato",SENTINEL\hall,"","","",MEDIUM,REGISTERED,2017-01-18-163214,"",2017-08-22-172951,"",173.251.20.37,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\COURTNEY13",SENTINEL\courtneystationl,"","","",MEDIUM,REGISTERED,2017-01-14-193431,"",2017-08-22-172951,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\MIATA",SENTINEL\miata,"","","",MEDIUM,REGISTERED,2017-01-12-175153,"",2017-08-22-172950,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\SHARKEY",SENTINEL\sharkey,"","","",MEDIUM,REGISTERED,2017-05-23-161503,"",2017-08-22-172949,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\AVENEL1",SENTINEL\avenel,"","","",MEDIUM,REGISTERED,2017-01-12-172941,"",2017-08-22-172944,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DISTINDIAN3",SENTINEL\allenp,"","","",MEDIUM,REGISTERED,2017-08-22-141443,"",2017-08-22-172943,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GRANDCENT13",SENTINEL\grand centennial l,"","","",MEDIUM,REGISTERED,2017-01-12-174231,"",2017-08-22-172942,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"randazzoimac.sentinelcorp.com",randazzoimac.sentinelcorp.com,"","","",MEDIUM,REGISTERED,2017-05-16-142813,"",2017-08-22-172938,172.17.8.17,173.251.20.37,MAC,"New_Sensors","",MAC OS X 10.12.5,1.2.2.11,""
"SENTINEL\HAMPGREEN3",SENTINEL\hampshire a,"","","",MEDIUM,REGISTERED,2017-01-12-175011,"",2017-08-22-172937,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\VERSANT2",SENTINEL\versanta,"","","",MEDIUM,REGISTERED,2017-08-22-141423,"",2017-08-22-172937,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
