name,email,firstName,lastName,middleName,targetValue,status,registeredTime,deregisteredTime,lastContactTime,lastInternalIpAddress,lastExternalIpAddress,deviceType,deviceGroupName,windowsPlatform,osVersion,sensorVersion,avEngine
"SENTINEL\BEKTESHI",SENTINEL\bekteshi,"","","",MEDIUM,REGISTERED,2017-08-22-141134,"",2017-08-22-150338,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\LEKHRAJ",SENTINEL\lekhraj,"","","",MEDIUM,REGISTERED,2017-02-16-174443,"",2017-08-22-150332,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\KELT",SENTINEL\kelt,"","","",MEDIUM,REGISTERED,2017-05-10-140521,"",2017-08-22-150326,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\SHARKEY",SENTINEL\sharkey,"","","",MEDIUM,REGISTERED,2017-05-23-161503,"",2017-08-22-150300,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GREENBERG",SENTINEL\greenberg,"","","",MEDIUM,REGISTERED,2017-03-08-152330,"",2017-08-22-150259,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ACADIA50",SENTINEL\acadias,"","","",MEDIUM,REGISTERED,2017-08-22-141356,"",2017-08-22-150251,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\BASHUALDO",SENTINEL\bashualdo,"","","",MEDIUM,REGISTERED,2017-01-12-173724,"",2017-08-22-150246,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DELANO13",SENTINEL\delanol,"","","",MEDIUM,REGISTERED,2017-08-22-141403,"",2017-08-22-150148,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ARROWHEAD3",SENTINEL\arrowhead a,"","","",MEDIUM,REGISTERED,2017-01-12-173057,"",2017-08-22-150147,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DISTTAMPA3",SENTINEL\leech,"","","",MEDIUM,REGISTERED,2017-08-22-141617,"",2017-08-22-150146,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\OAKWELLFARM14",SENTINEL\oakwelll2,"","","",MEDIUM,REGISTERED,2017-08-22-141415,"",2017-08-22-150140,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\KINGSCREST14",SENTINEL\kingscrestL2,"","","",MEDIUM,REGISTERED,2017-08-22-141324,"",2017-08-22-150139,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\QUALITYHILL3",SENTINEL\qualityhill,"","","",MEDIUM,REGISTERED,2017-08-22-141416,"",2017-08-22-150138,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\NONAPARK50",SENTINEL\nonaparks,"","","",MEDIUM,REGISTERED,2017-08-22-141326,"",2017-08-22-150133,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ASPREY1",SENTINEL\asprey m,"","","",MEDIUM,REGISTERED,2017-01-12-173839,"",2017-08-22-150130,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\FAIRWAYS13",SENTINEL\fairwaysl,"","","",MEDIUM,REGISTERED,2017-08-22-141257,"",2017-08-22-150129,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DISTTAMPA1",SENTINEL\corbett,"","","",MEDIUM,REGISTERED,2017-08-22-141617,"",2017-08-22-150128,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\STENGER1",SENTINEL\stenger,"","","",MEDIUM,REGISTERED,2017-07-17-140548,"",2017-08-22-150127,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\EASTCHASE14",SENTINEL\eastchasel2,"","","",MEDIUM,REGISTERED,2017-08-22-141358,"",2017-08-22-150127,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\BONTERRA3",SENTINEL\bonterra,"","","",MEDIUM,REGISTERED,2017-01-12-173010,"",2017-08-22-150124,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ARBORDUBLIN2",SENTINEL\arbors a,"","","",MEDIUM,REGISTERED,2017-01-12-173020,"",2017-08-22-150124,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ASPREY13",SENTINEL\aspreyl$,"","","",MEDIUM,REGISTERED,2017-08-22-141403,"",2017-08-22-150121,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CHESWYCK50",SENTINEL\Cheswycks,"","","",MEDIUM,REGISTERED,2017-08-22-141339,"",2017-08-22-150121,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\EPPERSON",SENTINEL\epperson,"","","",MEDIUM,REGISTERED,2017-01-12-174945,"",2017-08-22-150120,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DELAYNE2",SENTINEL\delaynea,"","","",MEDIUM,REGISTERED,2017-01-12-174742,"",2017-08-22-150118,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"chabliimac.sentinelcorp.com",chabliimac.sentinelcorp.com,"","","",MEDIUM,REGISTERED,2017-05-16-164504,"",2017-08-22-150116,172.17.8.26,173.251.20.37,MAC,"New_Sensors","",MAC OS X 10.12.5,1.2.2.11,""
"SENTINEL\LUCERNE4",SENTINEL\lucerne m,"","","",MEDIUM,REGISTERED,2017-01-12-175756,"",2017-08-22-150114,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\SULLIVAN",SENTINEL\Sullivan,"","","",MEDIUM,REGISTERED,2016-12-28-195907,"",2017-08-22-150113,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\helpdesk",smolds,"","","",MEDIUM,REGISTERED,2017-01-18-164152,"",2017-08-22-150110,"",173.251.20.37,WINDOWS,"default","",Server 2003 x86 SP: 2,1.0.6.161,""
"SENTINEL\AVANT3",SENTINEL\avanta,"","","",MEDIUM,REGISTERED,2017-01-12-173002,"",2017-08-22-150107,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CHERRYCREEK2",SENTINEL\enclavecherrycreeka,"","","",MEDIUM,REGISTERED,2017-08-22-141411,"",2017-08-22-150107,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\sophosav",SENTINEL\sormillon,"","","",MEDIUM,REGISTERED,2016-11-04-165110,"",2017-08-22-150105,"",173.251.20.37,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\FOXVALLEY13",SENTINEL\coveyl,"","","",MEDIUM,REGISTERED,2017-08-22-141418,"",2017-08-22-150105,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CHERRYCREEK14",SENTINEL\enclavecherrycreekl,"","","",MEDIUM,REGISTERED,2017-08-22-141406,"",2017-08-22-150101,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\WILDWOOD14",SENTINEL\wildwoodforestl2,"","","",MEDIUM,REGISTERED,2017-08-22-141422,"",2017-08-22-150100,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CORDILLERA14",SENTINEL\cordilleral2,"","","",MEDIUM,REGISTERED,2017-08-22-141224,"",2017-08-22-150100,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\OAKS14",SENTINEL\oaksl2,"","","",MEDIUM,REGISTERED,2017-08-22-141258,"",2017-08-22-150059,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\KUNESCH",SENTINEL\kunesch,"","","",MEDIUM,REGISTERED,2017-03-30-184344,"",2017-08-22-150059,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\APTEMP1",SENTINEL\aptemp,"","","",MEDIUM,REGISTERED,2017-04-26-132004,"",2017-08-22-150058,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CORDILLERA13",SENTINEL\cordilleral,"","","",MEDIUM,REGISTERED,2017-08-22-141224,"",2017-08-22-150057,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\RIVERPOINTE2",SENTINEL\river pointe a,"","","",MEDIUM,REGISTERED,2017-01-12-175651,"",2017-08-22-150057,10.0.20.2,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ACADIA14",SENTINEL\acadial,"","","",MEDIUM,REGISTERED,2017-01-12-172600,"",2017-08-22-150057,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\MONTERRA13",SENTINEL\monterral,"","","",MEDIUM,REGISTERED,2017-01-12-175408,"",2017-08-22-150056,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\23HUNDRED3",SENTINEL\23HUNDRED A,"","","",MEDIUM,REGISTERED,2017-01-12-172512,"",2017-08-22-150056,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\WILDWOOD3",SENTINEL\wildwood forest a,"","","",MEDIUM,REGISTERED,2017-01-12-175714,"",2017-08-22-150056,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\JACKSONPARK15",SENTINEL\jackson park l,"","","",MEDIUM,REGISTERED,2017-01-12-175050,"",2017-08-22-150054,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\WILDWOODFOREST1",SENTINEL\wildwood forest m,"","","",MEDIUM,REGISTERED,2017-01-12-175714,"",2017-08-22-150053,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CORNERSTONE14",SENTINEL\cornerstone l2,"","","",MEDIUM,REGISTERED,2017-01-12-173931,"",2017-08-22-150053,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\KO1",SENTINEL\ko,"","","",MEDIUM,REGISTERED,2017-01-12-174832,"",2017-08-22-150053,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GARDPOLARIS50",SENTINEL\gardenss,"","","",MEDIUM,REGISTERED,2017-08-22-141331,"",2017-08-22-150052,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\HAVEN14",SENTINEL\havenl2,"","","",MEDIUM,REGISTERED,2017-01-12-174936,"",2017-08-22-150051,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\OAKS3",SENTINEL\oaks,"","","",MEDIUM,REGISTERED,2017-01-13-161559,"",2017-08-22-150050,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\TUSCANYRIDGE14",SENTINEL\tuscanyridgel2,"","","",MEDIUM,REGISTERED,2017-08-22-141407,"",2017-08-22-150050,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\MALESZEWSKIV (S-1-5-21-753412686-597961653-1159422225-21851)",Unassigned,"","","",MEDIUM,REGISTERED,2017-04-27-151236,"",2017-08-22-150049,"",173.251.20.37,WINDOWS,"default","",Windows 7 x86 SP: 1,1.0.6.161,""
"SENTINEL\AVANT13",SENTINEL\avantl,"","","",MEDIUM,REGISTERED,2017-01-12-173005,"",2017-08-22-150048,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\COPPERFIELD13",SENTINEL\copperfield l,"","","",MEDIUM,REGISTERED,2017-01-12-174722,"",2017-08-22-150047,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CARRINGTON13",SENTINEL\Carringtonl,"","","",MEDIUM,REGISTERED,2017-01-12-174701,"",2017-08-22-150046,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\VERSANT1",SENTINEL\versant m,"","","",MEDIUM,REGISTERED,2017-01-12-175656,"",2017-08-22-150045,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\PETERSEN",SENTINEL\petersen,"","","",MEDIUM,REGISTERED,2016-11-02-191422,"",2017-08-22-150044,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\SHADELAND1",SENTINEL\fields,"","","",MEDIUM,REGISTERED,2017-01-12-175626,"",2017-08-22-150044,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\JAMIESONV (S-1-5-21-753412686-597961653-1159422225-22737)",Unassigned,"","","",MEDIUM,REGISTERED,2017-03-21-132154,"",2017-08-22-150043,"",173.251.20.37,WINDOWS,"default","",Windows 7 x86 SP: 1,1.0.6.161,""
"SENTINEL\LUO",SENTINEL\luo,"","","",MEDIUM,REGISTERED,2017-03-09-141008,"",2017-08-22-150043,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GREENHOUSE1",SENTINEL\greenhouse m,"","","",MEDIUM,REGISTERED,2017-01-12-174233,"",2017-08-22-150042,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\KIRBY13",SENTINEL\Thekirbyl,"","","",MEDIUM,REGISTERED,2017-01-12-175421,"",2017-08-22-150042,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CYPRESSWOOD14",SENTINEL\cypresswoodl2,"","","",MEDIUM,REGISTERED,2017-08-22-141523,"",2017-08-22-150041,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"randazzoimac.sentinelcorp.com",randazzoimac.sentinelcorp.com,"","","",MEDIUM,REGISTERED,2017-05-16-142813,"",2017-08-22-150041,172.17.8.17,173.251.20.37,MAC,"New_Sensors","",MAC OS X 10.12.5,1.2.2.11,""
"SENTINEL\file2",SENTINEL\nimdaab,"","","",MEDIUM,REGISTERED,2016-11-04-164153,"",2017-08-22-150040,"",173.251.20.37,WINDOWS,"default","",Server 2012 R2 x64 ,1.0.6.161,""
"SENTINEL\BRENTWOOD13",SENTINEL\brentwoodl,"","","",MEDIUM,REGISTERED,2017-08-22-141326,"",2017-08-22-150040,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GOTHAMPROP_BKR5",SENTINEL\gotham,"","","",MEDIUM,REGISTERED,2017-05-16-135822,"",2017-08-22-150039,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\YURCICHV (S-1-5-21-753412686-597961653-1159422225-22726)","","","","",MEDIUM,REGISTERED,2017-03-20-183625,"",2017-08-22-150039,172.18.6.4,173.251.20.37,WINDOWS,"default","",Windows 7 x86 SP: 1,1.0.6.161,""
"SENTINEL\ADDISONPARK50",SENTINEL\addisonparks,"","","",MEDIUM,REGISTERED,2017-08-22-141303,"",2017-08-22-150038,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\WINDWARDLP3",SENTINEL\windward m,"","","",MEDIUM,REGISTERED,2017-01-12-175625,"",2017-08-22-150038,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\PDC3",SENTINEL\smolds,"","","",MEDIUM,REGISTERED,2016-11-04-162306,"",2017-08-22-150038,"",173.251.20.37,WINDOWS,"default","",Server 2008 R2 x64 SP: 1,1.0.6.161,""
"SENTINEL\BARTOLOMEI",SENTINEL\bartolomei,"","","",MEDIUM,REGISTERED,2017-01-12-172901,"",2017-08-22-150038,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\AVENEL2",SENTINEL\avenela,"","","",MEDIUM,REGISTERED,2017-01-12-173806,"",2017-08-22-150036,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DCCOM2",SENTINEL\walsh,"","","",MEDIUM,REGISTERED,2017-01-12-174214,"",2017-08-22-150036,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GOTHAMPROP_ACT1",SENTINEL\gotham,"","","",MEDIUM,REGISTERED,2017-01-12-174157,"",2017-08-22-150035,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\910PENN1",SENTINEL\910Penn,"","","",MEDIUM,REGISTERED,2017-01-12-172620,"",2017-08-22-150034,10.0.47.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\FIRSTANDMAIN13",SENTINEL\firstandmainl,"","","",MEDIUM,REGISTERED,2017-01-12-174208,"",2017-08-22-150032,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GLENBROOK2",SENTINEL\glenbrooka,"","","",MEDIUM,REGISTERED,2017-01-12-174204,"",2017-08-22-150032,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\MITCHELV (S-1-5-21-753412686-597961653-1159422225-22722)",SENTINEL\mitchel,"","","",MEDIUM,REGISTERED,2017-03-21-150144,"",2017-08-22-150031,"",173.251.20.37,WINDOWS,"default","",Windows 7 x86 SP: 1,1.0.6.161,""
"SENTINEL\CORDILLERA1",SENTINEL\cordilleram,"","","",MEDIUM,REGISTERED,2017-01-12-173849,"",2017-08-22-150031,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\MARISCAL",SENTINEL\mariscal,"","","",MEDIUM,REGISTERED,2017-03-01-164414,"",2017-08-22-150030,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\GRANDVIEW4",SENTINEL\grandviewa,"","","",MEDIUM,REGISTERED,2017-01-12-174205,"",2017-08-22-150030,10.0.29.4,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ALLENPV (S-1-5-21-753412686-597961653-1159422225-22725)","","","","",MEDIUM,REGISTERED,2017-03-24-171931,"",2017-08-22-150030,"",173.251.20.37,WINDOWS,"default","",Windows 7 x86 SP: 1,1.0.6.161,""
"SENTINEL\LINKSPLUMCREEK1",SENTINEL\plumcreekm,"","","",MEDIUM,REGISTERED,2017-08-22-141355,"",2017-08-22-150029,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DALANGINV (S-1-5-21-753412686-597961653-1159422225-23761)",Unassigned,"","","",MEDIUM,REGISTERED,2017-03-21-135428,"",2017-08-22-150029,"",173.251.20.37,WINDOWS,"default","",Windows 7 x86 SP: 1,1.0.6.161,""
"SENTINEL\VINEYARDS13",SENTINEL\the vineyards l,"","","",MEDIUM,REGISTERED,2017-01-12-175701,"",2017-08-22-150029,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\SHERZER",SENTINEL\sherzer,"","","",MEDIUM,REGISTERED,2017-05-10-191516,"",2017-08-22-150029,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\ANDOVERPLACE2",SENTINEL\andover place a,"","","",MEDIUM,REGISTERED,2017-01-12-172622,"",2017-08-22-150028,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\FAIRWAYS1",SENTINEL\fairwaysm,"","","",MEDIUM,REGISTERED,2017-01-12-174216,"",2017-08-22-150028,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\WESTON50",SENTINEL\westonpoints,"","","",MEDIUM,REGISTERED,2017-08-22-141431,"",2017-08-22-150027,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\CORBINGREENS3",SENTINEL\corbingreensa,"","","",MEDIUM,REGISTERED,2017-01-12-173831,"",2017-08-22-150027,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\DELAYNE13",SENTINEL\delaynel,"","","",MEDIUM,REGISTERED,2017-08-22-141435,"",2017-08-22-150025,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\VALLEYBROOK14",SENTINEL\valleybrook a,"","","",MEDIUM,REGISTERED,2017-01-12-175601,"",2017-08-22-150023,"",173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\RIVERPLACECOMM7",SENTINEL\bernardy,"","","",MEDIUM,REGISTERED,2017-01-12-175643,"",2017-08-22-150023,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\QUALITYHILL2",SENTINEL\qualityhilla,"","","",MEDIUM,REGISTERED,2017-01-12-175253,"",2017-08-22-150023,127.0.0.1,173.251.20.37,WINDOWS,"default","",Windows 7 x64 SP: 1,1.0.6.161,""
"SENTINEL\TESTICV (S-1-5-21-753412686-597961653-1159422225-20723)",Unassigned,"","","",MEDIUM,REGISTERED,2017-05-25-195458,"",2017-08-22-150023,"",173.251.20.37,WINDOWS,"default","",Windows 7 x86 SP: 1,1.0.6.161,""
